formula,alpha_id,sharpe,fitness,turnover,margin_or_sub_sharpe,sharpe_test,fitness_test,turnover_min_test,turnover_max_test,weight_test,sub_sharpe_test,challenge_test,generation,status,passed_count
"ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)",wplRkPXl,1.26,1.17,0.0624,0.00345,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_arg_max(scale(close), 63) * rank(operating_expense)",A1Pw8M1Q,1.47,1.46,0.0645,0.003816,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)",N1rpE7e8,1.32,1.26,0.0509,0.004493,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_arg_max(scale(cap), 63) * rank(operating_expense)",58OOVElM,1.34,1.26,0.0638,0.003465,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))",RR88Lg81,1.36,1.32,0.0725,0.003258,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_arg_max(scale(close), 63) * (ts_arg_max(scale(close), 63) * rank(operating_expense))",LL11eGOa,1.4,1.35,0.073,0.003167,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) - (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10))",JjOORqaA,1.36,1.32,0.0728,0.003246,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_decay_linear((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense)), 10)",O0ZZWbkv,1.29,1.22,0.0659,0.003415,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(ts_arg_max(scale(close), 63) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) - (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20))",vRllA5YA,1.4,1.35,0.0735,0.003142,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * rank(operating_expense)",j200V6vk,1.32,1.27,0.07,0.003286,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) + rank(open)",aknnRQbx,1.25,1.16,0.0623,0.003449,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_decay_linear(((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * rank(operating_expense), 10)",N1rrL1GX,1.27,1.19,0.0636,0.003476,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_delay(scale(close), 63) + (ts_arg_max(scale(close), 63) * rank(operating_expense))",MPQQdqR9,1.52,1.5,0.0657,0.003688,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense)",RR88lMv1,1.29,1.24,0.059,0.00393,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_decay_linear(ts_arg_max(scale(cap), 63) * rank(operating_expense), 5)",RR88l8Eb,1.31,1.22,0.0607,0.003603,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20))",blqqJRJp,1.31,1.25,0.0754,0.003011,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) * ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense))",3qRRPrLO,1.27,1.2,0.0633,0.003523,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense)) * (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20))",A1PPzY7Y,1.27,1.2,0.0633,0.003523,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) + (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10))",ZYnnzNGn,1.26,1.17,0.0624,0.00345,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * (ts_arg_max(scale(close), 63) * rank(operating_expense))",O0ZZzjAR,1.33,1.27,0.08,0.002867,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) + rank(operating_expense)",vRll68Kv,1.36,1.32,0.0725,0.003258,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_arg_min(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * (ts_arg_max(scale(close), 63) * rank(operating_expense))",YP009Lro,1.45,1.39,0.1047,0.002205,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(ts_decay_linear((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense)), 10)) + ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) * ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense)))",d500Povx,1.29,1.22,0.0647,0.003476,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) * ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense))) + (ts_decay_linear((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense)), 10))",xAkkE5Xl,1.29,1.22,0.0647,0.003476,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
